Time Period,ER
2010-01-01,92.3566
2010-02-01,93.7321
2010-03-01,93.7979
2010-04-01,92.6661
2010-05-01,92.8423
2010-06-01,96.6123
2010-07-01,95.8018
2010-08-01,93.2793
2010-09-01,94.1148
2010-10-01,90.836
2010-11-01,90.0307
2010-12-01,91.6799
2011-01-01,89.9524
2011-02-01,89.1436
2011-03-01,88.831
2011-04-01,87.7993
2011-05-01,85.5999
2011-06-01,86.5964
2011-07-01,86.3613
2011-08-01,86.0391
2011-09-01,86.8512
2011-10-01,91.9998
2011-11-01,90.7296
2011-12-01,91.227
2012-01-01,92.4262
2012-02-01,90.0963
2012-03-01,89.7817
2012-04-01,90.4593
2012-05-01,90.3227
2012-06-01,94.6979
2012-07-01,92.9096
2012-08-01,92.8905
2012-09-01,92.1677
2012-10-01,90.7011
2012-11-01,91.1217
2012-12-01,91.1038
2013-01-01,90.6941
2013-02-01,90.6923
2013-03-01,92.6177
2013-04-01,92.1687
2013-05-01,91.4331
2013-06-01,93.6076
2013-07-01,94.0998
2013-08-01,93.7972
2013-09-01,94.7541
2013-10-01,92.9515
2013-11-01,93.155
2013-12-01,93.6291
2014-01-01,93.8192
2014-02-01,95.1774
2014-03-01,94.3879
2014-04-01,94.1244
2014-05-01,93.8707
2014-06-01,93.7606
2014-07-01,93.1365
2014-08-01,94.4754
2014-09-01,95.063
2014-10-01,97.5387
2014-11-01,98.1163
2014-12-01,99.8964
2015-01-01,102.9027
2015-02-01,105.5884
2015-03-01,105.5981
2015-04-01,107.06
2015-05-01,105.6382
2015-06-01,107.2238
2015-07-01,107.0101
2015-08-01,108.7819
2015-09-01,110.4506
2015-10-01,111.0439
2015-11-01,110.2079
2015-12-01,112.1134
2016-01-01,114.1595
2016-02-01,115.3331
2016-03-01,113.9265
2016-04-01,110.2977
2016-05-01,108.8274
2016-06-01,112.462
2016-07-01,111.6509
2016-08-01,111.9757
2016-09-01,112.1733
2016-10-01,112.2795
2016-11-01,113.9915
2016-12-01,117.6642
2017-01-01,118.3466
2017-02-01,116.3914
2017-03-01,116.438
2017-04-01,114.7938
2017-05-01,114.5921
2017-06-01,113.3017
2017-07-01,111.9896
2017-08-01,109.8495
2017-09-01,109.0504
2017-10-01,110.0867
2017-11-01,111.7942
2017-12-01,110.1413
2018-01-01,109.6444
2018-02-01,106.4877
2018-03-01,108.5357
2018-04-01,107.4783
2018-05-01,109.7437
2018-06-01,111.8253
2018-07-01,113.2583
2018-08-01,112.8897
2018-09-01,114.275
2018-10-01,113.8227
2018-11-01,115.8643
2018-12-01,116.4121
2019-01-01,115.7676
2019-02-01,113.7524
2019-03-01,114.535
2019-04-01,114.935
2019-05-01,115.0008
2019-06-01,116.7279
2019-07-01,114.7247
2019-08-01,116.0509
2019-09-01,118.16
2019-10-01,117.9621
2019-11-01,115.7324
2019-12-01,117.1218
2020-01-01,114.9746
2020-02-01,115.7342
2020-03-01,117.6573
2020-04-01,123.8033
2020-05-01,123.1615
2020-06-01,120.2753
2020-07-01,120.0902
2020-08-01,117.2208
2020-09-01,115.5814
2020-10-01,116.7339
2020-11-01,116.1417
2020-12-01,112.8122
2021-01-01,111.2143
2021-02-01,112.4282
2021-03-01,112.538
2021-04-01,113.7504
2021-05-01,112.0959
2021-06-01,110.5179
2021-07-01,112.7484
2021-08-01,112.6808
2021-09-01,112.8832
2021-10-01,114.3899
2021-11-01,114.2231
2021-12-01,115.9026
2022-01-01,115.4243
2022-02-01,115.3775
2022-03-01,115.8062
2022-04-01,115.4835
2022-05-01,119.4936
2022-06-01,118.6936
2022-07-01,121.5123
2022-08-01,121.4218
2022-09-01,124.4045
2022-10-01,127.5159
2022-11-01,127.4011
2022-12-01,122.0147
2023-01-01,121.4392
2023-02-01,118.6396
2023-03-01,120.6971
2023-04-01,119.4611
2023-05-01,119.5845
2023-06-01,120.2628
2023-07-01,119.7118
2023-08-01,118.9156
2023-09-01,121.1011
2023-10-01,122.6332
2023-11-01,124.0801
2023-12-01,120.2542
2024-01-01,119.6165
2024-02-01,120.6832
2024-03-01,121.3741
2024-04-01,121.8884
2024-05-01,123.3776
2024-06-01,122.4845
2024-07-01,124.7723
2024-08-01,124.1551
2024-09-01,122.5582
2024-10-01,121.9152
2024-11-01,125.0403
2024-12-01,126.8114
2025-01-01,129.6666
