"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","United States"
"2008-01-01 00:00:00",98.7722
"2008-02-01 00:00:00",98.38571
"2008-03-01 00:00:00",97.91975
"2008-04-01 00:00:00",97.39453
"2008-05-01 00:00:00",97.01743
"2008-06-01 00:00:00",96.89885
"2008-07-01 00:00:00",97.10078
"2008-08-01 00:00:00",97.35662
"2008-09-01 00:00:00",97.43224
"2008-10-01 00:00:00",97.08134
"2008-11-01 00:00:00",96.82621
"2008-12-01 00:00:00",96.81879
"2009-01-01 00:00:00",96.82595
"2009-02-01 00:00:00",96.80006
"2009-03-01 00:00:00",97.00082
"2009-04-01 00:00:00",97.44633
"2009-05-01 00:00:00",97.82968
"2009-06-01 00:00:00",97.98839
"2009-07-01 00:00:00",97.94344
"2009-08-01 00:00:00",97.98688
"2009-09-01 00:00:00",98.16367
"2009-10-01 00:00:00",98.19315
"2009-11-01 00:00:00",98.20709
"2009-12-01 00:00:00",98.3802
"2010-01-01 00:00:00",98.54066
"2010-02-01 00:00:00",98.59536
"2010-03-01 00:00:00",98.59229
"2010-04-01 00:00:00",98.57201
"2010-05-01 00:00:00",98.57075
"2010-06-01 00:00:00",98.4764
"2010-07-01 00:00:00",98.19405
"2010-08-01 00:00:00",98.02185
"2010-09-01 00:00:00",97.97143
"2010-10-01 00:00:00",98.06914
"2010-11-01 00:00:00",98.32436
"2010-12-01 00:00:00",98.57317
"2011-01-01 00:00:00",98.68053
"2011-02-01 00:00:00",98.6318
"2011-03-01 00:00:00",98.39011
"2011-04-01 00:00:00",98.33224
"2011-05-01 00:00:00",98.3172
"2011-06-01 00:00:00",98.01389
"2011-07-01 00:00:00",97.44407
"2011-08-01 00:00:00",96.95721
"2011-09-01 00:00:00",96.88524
"2011-10-01 00:00:00",97.10273
"2011-11-01 00:00:00",97.53288
"2011-12-01 00:00:00",98.0825
"2012-01-01 00:00:00",98.55213
"2012-02-01 00:00:00",98.81364
"2012-03-01 00:00:00",98.93896
"2012-04-01 00:00:00",98.97374
"2012-05-01 00:00:00",98.91758
"2012-06-01 00:00:00",98.71276
"2012-07-01 00:00:00",98.64057
"2012-08-01 00:00:00",98.81055
"2012-09-01 00:00:00",99.1271
"2012-10-01 00:00:00",99.3541
"2012-11-01 00:00:00",99.26765
"2012-12-01 00:00:00",98.93344
"2013-01-01 00:00:00",98.80494
"2013-02-01 00:00:00",98.90801
"2013-03-01 00:00:00",99.07497
"2013-04-01 00:00:00",99.28728
"2013-05-01 00:00:00",99.62595
"2013-06-01 00:00:00",99.80103
"2013-07-01 00:00:00",99.76331
"2013-08-01 00:00:00",99.48215
"2013-09-01 00:00:00",99.10065
"2013-10-01 00:00:00",98.86481
"2013-11-01 00:00:00",98.96538
"2013-12-01 00:00:00",99.26935
"2014-01-01 00:00:00",99.44219
"2014-02-01 00:00:00",99.51205
"2014-03-01 00:00:00",99.54432
"2014-04-01 00:00:00",99.6188
"2014-05-01 00:00:00",99.60965
"2014-06-01 00:00:00",99.59193
"2014-07-01 00:00:00",99.59261
"2014-08-01 00:00:00",99.67877
"2014-09-01 00:00:00",99.87471
"2014-10-01 00:00:00",100.1579
"2014-11-01 00:00:00",100.5096
"2014-12-01 00:00:00",100.9011
"2015-01-01 00:00:00",101.1651
"2015-02-01 00:00:00",101.1676
"2015-03-01 00:00:00",101.0714
"2015-04-01 00:00:00",101.0168
"2015-05-01 00:00:00",100.9366
"2015-06-01 00:00:00",100.9506
"2015-07-01 00:00:00",100.8362
"2015-08-01 00:00:00",100.6471
"2015-09-01 00:00:00",100.4767
"2015-10-01 00:00:00",100.5059
"2015-11-01 00:00:00",100.6221
"2015-12-01 00:00:00",100.719
"2016-01-01 00:00:00",100.7321
"2016-02-01 00:00:00",100.6948
"2016-03-01 00:00:00",100.655
"2016-04-01 00:00:00",100.6771
"2016-05-01 00:00:00",100.7992
"2016-06-01 00:00:00",100.7772
"2016-07-01 00:00:00",100.6308
"2016-08-01 00:00:00",100.5251
"2016-09-01 00:00:00",100.506
"2016-10-01 00:00:00",100.5827
"2016-11-01 00:00:00",100.9112
"2016-12-01 00:00:00",101.248
"2017-01-01 00:00:00",101.3959
"2017-02-01 00:00:00",101.3836
"2017-03-01 00:00:00",101.3529
"2017-04-01 00:00:00",101.3125
"2017-05-01 00:00:00",101.2397
"2017-06-01 00:00:00",101.1323
"2017-07-01 00:00:00",101.0932
"2017-08-01 00:00:00",101.1911
"2017-09-01 00:00:00",101.3125
"2017-10-01 00:00:00",101.4621
"2017-11-01 00:00:00",101.4421
"2017-12-01 00:00:00",101.3597
"2018-01-01 00:00:00",101.3888
"2018-02-01 00:00:00",101.5478
"2018-03-01 00:00:00",101.6466
"2018-04-01 00:00:00",101.597
"2018-05-01 00:00:00",101.5131
"2018-06-01 00:00:00",101.4565
"2018-07-01 00:00:00",101.4258
"2018-08-01 00:00:00",101.4368
"2018-09-01 00:00:00",101.5181
"2018-10-01 00:00:00",101.5007
"2018-11-01 00:00:00",101.3942
"2018-12-01 00:00:00",101.228
"2019-01-01 00:00:00",101.0291
"2019-02-01 00:00:00",101.0818
"2019-03-01 00:00:00",101.2943
"2019-04-01 00:00:00",101.4499
"2019-05-01 00:00:00",101.5356
"2019-06-01 00:00:00",101.4442
"2019-07-01 00:00:00",101.2183
"2019-08-01 00:00:00",100.93
"2019-09-01 00:00:00",100.9299
"2019-10-01 00:00:00",101.1275
"2019-11-01 00:00:00",101.3892
"2019-12-01 00:00:00",101.611
"2020-01-01 00:00:00",101.6094
"2020-02-01 00:00:00",101.1926
"2020-03-01 00:00:00",100.2208
"2020-04-01 00:00:00",99.16375
"2020-05-01 00:00:00",98.67685
"2020-06-01 00:00:00",98.62836
"2020-07-01 00:00:00",98.64521
"2020-08-01 00:00:00",98.84171
"2020-09-01 00:00:00",99.14593
"2020-10-01 00:00:00",99.29075
"2020-11-01 00:00:00",99.24879
"2020-12-01 00:00:00",99.25177
"2021-01-01 00:00:00",99.2577
"2021-02-01 00:00:00",99.39362
"2021-03-01 00:00:00",99.7503
"2021-04-01 00:00:00",99.9882
"2021-05-01 00:00:00",99.93102
"2021-06-01 00:00:00",99.72665
"2021-07-01 00:00:00",99.27081
"2021-08-01 00:00:00",98.71656
"2021-09-01 00:00:00",98.42559
"2021-10-01 00:00:00",98.24384
"2021-11-01 00:00:00",98.08574
"2021-12-01 00:00:00",97.98695
"2022-01-01 00:00:00",97.758
"2022-02-01 00:00:00",97.45845
"2022-03-01 00:00:00",97.22704
"2022-04-01 00:00:00",97.06501
"2022-05-01 00:00:00",96.66874
"2022-06-01 00:00:00",96.27213
"2022-07-01 00:00:00",96.24514
"2022-08-01 00:00:00",96.50505
"2022-09-01 00:00:00",96.71938
"2022-10-01 00:00:00",96.83194
"2022-11-01 00:00:00",96.8955
"2022-12-01 00:00:00",97.11164
"2023-01-01 00:00:00",97.39186
"2023-02-01 00:00:00",97.50507
"2023-03-01 00:00:00",97.39567
"2023-04-01 00:00:00",97.30491
"2023-05-01 00:00:00",97.30555
"2023-06-01 00:00:00",97.59198
"2023-07-01 00:00:00",97.92828
"2023-08-01 00:00:00",97.97174
"2023-09-01 00:00:00",97.79299
"2023-10-01 00:00:00",97.58613
"2023-11-01 00:00:00",97.65981
"2023-12-01 00:00:00",98.17484
"2024-01-01 00:00:00",98.77728
